(0.58, -3.107)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(-1.423609938941663, 2.7535299999999996)
(-0.2073419999999996, 5.5045899999999985)
(-0.03, 10.657)
(-0.685632, -2.41778)
(0.58, -3.107)
(0.4742690000000001, -2.41778)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(-1.418123978472237, 1.5940299999999998)
(-0.6811789999999998, 1.1276)
(-0.685632, -1.5993199999999999)
(0.5452100000000002, 4.68462)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(-1.423609938941663, 2.7535299999999996)
(-0.2073419999999996, 5.5045899999999985)
(-0.03, 10.657)
(-0.39901800000000004, 8.372309999999999)
(1.7038000000000024, 5.50462)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(-1.423609938941663, 2.7535299999999996)
(-0.2073419999999996, 5.5045899999999985)
(-0.03, 10.657)
(0.5452100000000002, 5.50462)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(-1.423609938941663, 2.7535299999999996)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(-1.418123978472237, 1.5940299999999998)
(-0.59895, 1.59403)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(-1.423609938941663, 2.7535299999999996)
(-0.2073419999999996, 5.5045899999999985)
(-0.03, 10.657)
(-0.39901800000000004, 8.372309999999999)
(-0.5989500000000001, 2.75353)
(-0.2073419999999996, 4.684589999999999)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(0.6126580000000003, 4.684589999999999)
(0.6126580000000003, 5.5045899999999985)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(-1.423609938941663, 2.7535299999999996)
(-0.2073419999999996, 5.5045899999999985)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(-1.418123978472237, 1.5940299999999998)
(-0.6811789999999998, 1.1276)
(0.13882099999999997, 1.1276)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(0.6126580000000003, 4.684589999999999)
(0.13882099999999997, 1.9475999999999998)
(-0.6811789999999998, 1.9475999999999998)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(0.6126580000000003, 4.684589999999999)
(0.6143989999999998, 0.6420889999999999)
(1.3632479999999996, -1.59778)
(0.6143989999999998, -0.17791099999999996)
(-0.20560099999999998, -0.17791099999999996)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(0.6126580000000003, 4.684589999999999)
(0.6143989999999998, 0.6420889999999999)
(1.3632479999999996, -1.59778)
(0.6143989999999998, -0.17791099999999996)
(0.58, -3.107)
(0.5432480000000003, -2.417780000000001)
(0.5432480000000003, -1.59778)
(0.4742690000000001, -1.5993199999999999)
(1.7038000000000024, 4.68462)
(0.6126580000000003, 4.684589999999999)
(0.6143989999999998, 0.6420889999999999)
(-0.20560099999999998, 0.6420889999999999)
(0.58, -3.107)
